,SP500,USD_EUR,USD_GBP
2011-05-10,104.39167022705078,1.4358,1.6331
2011-05-11,103.29302978515625,1.4269,1.6412
2011-05-12,103.78471374511719,1.4229,1.629
2011-05-13,102.98564147949219,1.4141,1.6179
2011-05-16,102.33258056640625,1.4219,1.624
2011-05-17,102.31722259521484,1.4155,1.6206
2011-05-18,103.23152160644531,1.427,1.6148
2011-05-19,103.47736358642578,1.4254,1.6179
2011-05-20,102.65528106689453,1.4172,1.6222
2011-05-23,101.46440887451172,1.4015,1.6102
2011-05-24,101.37985229492188,1.4107,1.6185
2011-05-25,101.71794128417969,1.4102,1.6277
2011-05-26,102.18661499023438,1.4088,1.6346
2011-05-27,102.57847595214844,1.4287,1.6494
2011-05-30,,,
2011-05-31,103.64640808105469,1.4376,1.6439
2011-06-01,101.31841278076172,1.4431,1.6391
2011-06-02,101.21086120605469,1.4426,1.6325
2011-06-03,100.20433044433594,1.4604,1.6397
2011-06-06,99.1440658569336,1.462,1.6362
2011-06-07,99.08261108398438,1.4675,1.6444
2011-06-08,98.66768646240234,1.4587,1.6381
2011-06-09,99.420654296875,1.4534,1.6382
2011-06-10,98.03766632080078,1.4365,1.6254
2011-06-13,98.11451721191406,1.4368,1.6308
2011-06-14,99.35919189453125,1.4473,1.6388
2011-06-15,97.59204864501953,1.4221,1.6218
2011-06-16,97.80720520019531,1.4155,1.613
2011-06-17,98.09906768798828,1.4326,1.6186
2011-06-20,98.6009521484375,1.432,1.6206
2011-06-21,99.95216369628906,1.4399,1.6232
2011-06-22,99.34988403320312,1.4403,1.6131
2011-06-23,99.06421661376953,1.4166,1.5977
2011-06-24,97.91373443603516,1.4189,1.5985
2011-06-27,98.7862319946289,1.4282,1.5972
2011-06-28,100.07573699951172,1.4368,1.6016
2011-06-29,100.9327621459961,1.4428,1.607
2011-06-30,101.89791107177734,1.4523,1.6067
2011-07-01,103.40357208251953,1.4508,1.607
2011-07-04,,,
2011-07-05,103.31864166259766,1.447,1.6085
2011-07-06,103.44220733642578,1.4329,1.5998
2011-07-07,104.51546478271484,1.4349,1.5967
2011-07-08,103.77417755126953,1.4251,1.603
2011-07-11,101.89791107177734,1.4034,1.5932
2011-07-12,101.45780944824219,1.4014,1.594
2011-07-13,101.79756927490234,1.4167,1.6111
2011-07-14,101.09490966796875,1.4182,1.6125
2011-07-15,101.68173217773438,1.4156,1.6149
2011-07-18,100.84781646728516,1.4042,1.6024
2011-07-19,102.4847640991211,1.4156,1.6135
2011-07-20,102.4229736328125,1.4188,1.6139
2011-07-21,103.84371948242188,1.4372,1.6301
2011-07-22,103.91319274902344,1.4366,1.6319
2011-07-25,103.3341064453125,1.4357,1.6285
2011-07-26,102.94804382324219,1.4495,1.6392
2011-07-27,100.840087890625,1.4373,1.6357
2011-07-28,100.54672241210938,1.4303,1.6338
2011-07-29,99.85950469970703,1.4388,1.6455
2011-08-01,99.43486022949219,1.4202,1.6278
2011-08-02,96.89453887939453,1.4232,1.6287
2011-08-03,97.41960144042969,1.432,1.6406
2011-08-04,92.85631561279297,1.4158,1.6308
2011-08-05,92.71732330322266,1.4158,1.6362
2011-08-08,86.67924499511719,1.4241,1.6354
2011-08-09,90.70978546142578,1.4242,1.6194
2011-08-10,86.70240783691406,1.4193,1.6169
2011-08-11,90.59393310546875,1.423,1.6228
2011-08-12,91.2039566040039,1.4239,1.6284
2011-08-15,93.1342544555664,1.4452,1.6387
2011-08-16,92.33895874023438,1.4421,1.6424
2011-08-17,92.4007339477539,1.4436,1.6591
2011-08-18,88.41653442382812,1.432,1.6489
2011-08-19,86.97266387939453,1.4408,1.6544
2011-08-22,87.04216766357422,1.4384,1.6452
2011-08-23,89.9067611694336,1.4431,1.6509
2011-08-24,91.17305755615234,1.4402,1.6375
2011-08-25,89.783203125,1.438,1.6289
2011-08-26,91.08812713623047,1.4463,1.6321
2011-08-29,93.70562744140625,1.451,1.6398
2011-08-30,93.95270538330078,1.4435,1.6279
2011-08-31,94.36967468261719,1.4406,1.6269
2011-09-01,93.38133239746094,1.4283,1.6179
2011-09-02,90.99546813964844,1.4203,1.619
2011-09-05,,,
2011-09-06,90.33142852783203,1.3999,1.5954
2011-09-07,92.87947082519531,1.4058,1.5948
2011-09-08,91.91426849365234,1.3947,1.6021
2011-09-09,89.50524139404297,1.3666,1.587
2011-09-12,90.0843505859375,1.3635,1.5814
2011-09-13,90.91051483154297,1.368,1.5805
2011-09-14,92.16910552978516,1.371,1.5773
2011-09-15,93.75968170166016,1.3858,1.5808
2011-09-16,94.3145980834961,1.3783,1.5802
2011-09-19,93.37551879882812,1.3636,1.5674
2011-09-20,93.26685333251953,1.3697,1.5718
2011-09-21,90.51935577392578,1.3724,1.5619
2011-09-22,87.5933837890625,1.3446,1.5358
2011-09-23,88.12113952636719,1.3518,1.5475
2011-09-26,90.21666717529297,1.3516,1.5553
2011-09-27,91.22563934326172,1.3606,1.5681
2011-09-28,89.36296081542969,1.3628,1.5648
2011-09-29,90.06919860839844,1.3639,1.5685
2011-09-30,87.8184585571289,1.3449,1.5624
2011-10-03,85.31932067871094,1.3281,1.5474
2011-10-04,87.18978881835938,1.3294,1.5403
2011-10-05,88.80412292480469,1.3328,1.5436
2011-10-06,90.41069030761719,1.3408,1.5398
2011-10-07,89.8053207397461,1.3512,1.5628
2011-10-10,92.8089599609375,,
2011-10-11,92.90205383300781,1.3657,1.5594
2011-10-12,93.71701049804688,1.3805,1.5757
2011-10-13,93.53076171875,1.373,1.5729
2011-10-14,95.12955474853516,1.3861,1.5808
2011-10-17,93.31341552734375,1.377,1.5778
2011-10-18,95.1373291015625,1.3719,1.5654
2011-10-19,94.01188659667969,1.3775,1.5799
2011-10-20,94.42325592041016,1.3672,1.5726
2011-10-21,96.21610260009766,1.3873,1.5945
2011-10-24,97.39583587646484,1.3932,1.5986
2011-10-25,95.50208282470703,1.3911,1.5994
2011-10-26,96.47223663330078,1.3838,1.5905
2011-10-27,99.83283996582031,1.4172,1.6081
2011-10-28,99.80956268310547,1.4164,1.613
2011-10-31,97.4035873413086,1.3947,1.6141
2011-11-01,94.68716430664062,1.3676,1.5946
2011-11-02,96.23162841796875,1.3803,1.5974
2011-11-03,97.9856948852539,1.3744,1.5959
2011-11-04,97.3880615234375,1.3761,1.6026
2011-11-07,97.99346160888672,1.3744,1.6024
2011-11-08,99.2507553100586,1.3785,1.6076
2011-11-09,95.58744812011719,1.3596,1.5958
2011-11-10,96.48776245117188,1.36,1.5935
2011-11-11,98.30386352539062,,
2011-11-14,97.37252807617188,1.3625,1.5899
2011-11-15,97.853759765625,1.3524,1.5818
2011-11-16,96.3014907836914,1.3505,1.577
2011-11-17,94.77250671386719,1.3522,1.5801
2011-11-18,94.671630859375,1.3521,1.5783
2011-11-21,92.87101745605469,1.3525,1.5662
2011-11-22,92.5062484741211,1.35,1.5646
2011-11-23,90.46504974365234,1.3347,1.5511
2011-11-24,,,
2011-11-25,90.29431915283203,1.3244,1.5467
2011-11-28,92.90979766845703,1.3334,1.5538
