,USDBRL,USDEUR
1998-09-28,1.1849,
1998-09-29,1.185,
1998-09-30,1.1856,
1998-10-01,1.1807,
1998-10-02,1.1837,
1998-10-05,1.186,
1998-10-06,1.1849,
1998-10-07,1.1831,
1998-10-08,1.1846,
1998-10-09,1.1867,
1998-10-13,1.1877,
1998-10-14,1.1888,
1998-10-15,1.1886,
1998-10-16,1.1886,
1998-10-19,1.1899,
1998-10-20,1.1896,
1998-10-21,1.1899,
1998-10-22,1.1905,
1998-10-23,1.1911,
1998-10-26,1.1913,
1998-10-27,1.1922,
1998-10-28,1.1924,
1998-10-29,1.1922,
1998-10-30,1.1932,
1998-11-03,1.1929,
1998-11-04,1.1916,
1998-11-05,1.1905,
1998-11-06,1.1884,
1998-11-09,1.1899,
1998-11-10,1.1911,
1998-11-11,1.1908,
1998-11-12,1.1913,
1998-11-13,1.1915,
1998-11-16,1.1909,
1998-11-17,1.1909,
1998-11-18,1.1913,
1998-11-19,1.1932,
1998-11-20,1.195,
1998-11-23,1.1974,
1998-11-24,1.1978,
1998-11-25,1.1982,
1998-11-26,1.1992,
1998-11-27,1.2003,
1998-11-30,1.2012,
1998-12-01,1.2016,
1998-12-02,1.2013,
1998-12-03,1.2023,
1998-12-04,1.2026,
1998-12-07,1.2029,
1998-12-08,1.2035,
1998-12-09,1.2037,
1998-12-10,1.2034,
1998-12-11,1.204,
1998-12-14,1.2048,
1998-12-15,1.2052,
1998-12-16,1.2053,
1998-12-17,1.2065,
1998-12-18,1.2068,
1998-12-21,1.2069,
1998-12-22,1.2074,
1998-12-23,1.2078,
1998-12-24,1.2079,
1998-12-28,1.2084,
1998-12-29,1.2084,
1998-12-30,1.2083,
1998-12-31,1.2087,
1999-01-04,1.2078,0.8465966813410091
1999-01-05,1.2085,0.8503401360544218
1999-01-06,1.2096,0.8594018563080097
1999-01-07,1.2101,0.8567511994516792
1999-01-08,1.2104,0.8655011251514627
1999-01-11,1.2109,0.8670019074041964
1999-01-12,1.2114,0.8659508139937652
1999-01-13,1.3193,0.8548469823901522
1999-01-14,1.3194,0.8555051758063136
1999-01-15,1.4659,0.862738331464067
1999-01-18,1.5384,
1999-01-19,1.558,0.8613264427217915
1999-01-20,1.5735,0.8639308855291576
1999-01-21,1.6602,0.8637816360024186
1999-01-22,1.7049,0.8634087376964256
1999-01-25,1.7606,0.8646031471554556
1999-01-26,1.877,0.8637816360024186
1999-01-27,1.8886,0.8710042679209129
1999-01-28,1.9206,0.8775778850372971
1999-01-29,1.9832,0.879430129276229
1999-02-01,1.9638,0.8847208705653365
1999-02-02,1.798,0.8827683615819208
1999-02-03,1.7709,0.8819119851838787
1999-02-04,1.814,0.884486113568017
1999-02-05,1.8317,0.8862891075068686
1999-02-08,1.8609,0.8852691218130312
1999-02-09,1.9333,0.8849557522123894
1999-02-10,1.8953,0.8825346394845998
1999-02-11,1.8868,0.8847208705653365
1999-02-12,1.8984,0.8863676653075695
1999-02-15,,
1999-02-16,,0.893734918223255
1999-02-17,1.9179,0.8904719501335708
1999-02-18,1.9029,0.8910273545397843
1999-02-19,1.9208,0.9029345372460498
1999-02-22,1.9356,0.906043308870164
1999-02-23,2.0128,0.9096697898662786
1999-02-24,2.0033,0.9114108640174992
1999-02-25,2.0351,0.9035056017347307
1999-02-26,2.0648,0.9095043201455207
1999-03-01,2.0284,0.918189330639978
1999-03-02,2.1308,0.9148293843198244
1999-03-03,2.1647,0.9184423218221895
1999-03-04,2.1022,0.9238728750923872
1999-03-05,1.9934,0.9222539887485013
1999-03-08,1.9708,0.9175153683824203
1999-03-09,1.9056,0.9197093718384991
1999-03-10,1.8631,0.9123255177447313
1999-03-11,1.8784,0.9147457006952068
1999-03-12,1.9051,0.91441111923921
1999-03-15,1.8825,0.9149130832570906
1999-03-16,1.8521,0.9161704076958315
1999-03-17,1.8777,0.9078529278256923
1999-03-18,1.8596,0.9099181073703367
1999-03-19,1.8507,0.9154994049253867
1999-03-22,1.8615,0.9161704076958315
1999-03-23,1.8516,0.9159186664224216
1999-03-24,1.8428,0.9156670634557275
1999-03-25,1.81,0.9198785760279643
1999-03-26,1.775,0.9308386856557759
1999-03-29,1.7655,0.9331840238895109
1999-03-30,1.7334,0.9317927692881104
1999-03-31,1.722,0.9252405625462621
1999-04-01,,0.9274717121127806
1999-04-02,,0.9274717121127806
1999-04-05,1.7251,0.9340556697179152
1999-04-06,1.7314,0.9226794611551946
1999-04-07,1.7295,0.9272997032640949
1999-04-08,1.7206,0.9229349330872174
1999-04-09,1.709,0.9271277582050806
1999-04-12,1.7054,0.9223390518354546
1999-04-13,1.672,0.9276437847866419
1999-04-14,1.6575,0.9277298450691158
1999-04-15,1.6688,0.9330969487729774
1999-04-16,1.67,0.9356287425149701
1999-04-19,1.6721,0.942684766214178
1999-04-20,1.7101,0.9407337723424272
1999-04-21,,0.9423294383716548
1999-04-22,1.7014,0.9435742592942064
1999-04-23,1.6851,0.940379913485048
1999-04-26,1.6978,0.9442870632672333
1999-04-27,1.7069,0.9390553103577801
1999-04-28,1.6963,0.9419743782969102
1999-04-29,1.6676,0.9441979038806535
1999-04-30,1.6607,0.9466111321469141
1999-05-03,1.6735,0.9459842966606755
1999-05-04,1.6734,0.9440196356084207
1999-05-05,1.6847,0.9324878776575904
1999-05-06,1.6729,0.9277298450691158
1999-05-07,1.6712,0.9275577404693441
1999-05-10,1.6518,0.9270418095856123
1999-05-11,1.6468,0.9328358208955223
1999-05-12,1.6614,0.9375585974123383
1999-05-13,1.651,0.9410878976096367
1999-05-14,1.657,0.9389671361502347
1999-05-17,1.667,0.9370314842578711
1999-05-18,1.6659,0.9370314842578711
1999-05-19,1.6636,0.93976130062964
1999-05-20,1.6834,0.9407337723424272
1999-05-21,1.6963,0.9454476694714947
1999-05-24,1.6985,0.9440196356084207
1999-05-25,1.748,0.9445546424860678
1999-05-26,1.7186,0.9550186228631459
1999-05-27,1.7137,0.9579461634256154
1999-05-28,1.7311,0.9595087315294569
1999-05-31,1.724,
1999-06-01,1.7336,0.9570293808019906
1999-06-02,1.7542,0.9655305590421936
1999-06-03,,0.9657170449058425
1999-06-04,1.7365,0.9683354313934347
1999-06-07,1.7412,0.9712509712509712
1999-06-08,1.7479,0.9580379383023567
1999-06-09,1.7491,0.9569377990430623
1999-06-10,1.7597,0.9544716999140975
1999-06-11,1.773,0.9509319132750095
1999-06-14,1.7783,0.9600614439324116
1999-06-15,1.7892,0.9596928982725528
1999-06-16,1.7675,0.9710623422023693
1999-06-17,1.7605,0.9681479330041631
1999-06-18,1.7485,0.9645061728395062
1999-06-21,1.7636,0.968710646130001
1999-06-22,1.7688,0.968710646130001
1999-06-23,1.7848,0.9693679720822024
1999-06-24,1.8003,0.9641342074816815
1999-06-25,1.7904,0.9571209800918836
1999-06-28,1.79,0.9640412609659692
1999-06-29,1.7672,0.9673986649898423
1999-06-30,1.7695,0.9699321047526674
1999-07-01,1.7575,0.9769441187964047
1999-07-02,1.7706,0.9761811792268645
1999-07-05,1.7663,
1999-07-06,1.7754,0.9757049468240805
1999-07-07,1.7815,0.9780907668231612
1999-07-08,1.7911,0.9805844283192783
1999-07-09,1.8044,0.9817396426467702
1999-07-12,1.819,0.9862905611993293
1999-07-13,1.8392,0.9827044025157232
1999-07-14,1.8109,0.978952520802741
1999-07-15,1.8281,0.9784735812133072
1999-07-16,1.8107,0.9801038910124473
1999-07-19,1.7929,0.9801038910124473
1999-07-20,1.7982,0.9596928982725528
1999-07-21,1.8171,0.9500285008550257
1999-07-22,1.8171,0.9515653249595585
1999-07-23,1.8147,0.9526531389920929
1999-07-26,1.8203,0.9388789784996715
1999-07-27,1.8173,0.9409993413004611
1999-07-28,1.7915,0.9394964299135663
1999-07-29,1.7939,0.9329228472805299
1999-07-30,1.7892,0.935103796521414
1999-08-02,1.8115,0.937998311603039
1999-08-03,1.8278,0.9363295880149812
1999-08-04,1.8217,0.9288500835965076
1999-08-05,1.8476,0.9265264523302141
1999-08-06,1.8493,0.9285051067780873
1999-08-09,1.8454,0.935103796521414
1999-08-10,1.8729,0.9300595238095238
1999-08-11,1.863,0.9380863039399624
1999-08-12,1.8511,0.940203083866115
1999-08-13,1.8711,0.9462528387585163
1999-08-16,1.8768,0.9472387989012029
1999-08-17,1.882,0.9501187648456058
1999-08-18,1.8927,0.9519276534983341
1999-08-19,1.9171,0.939584703561026
1999-08-20,1.9497,0.9386146048432514
1999-08-23,1.8706,0.9475978394769261
1999-08-24,1.9026,0.9518370454978108
1999-08-25,1.9311,0.9559315553006404
1999-08-26,1.9087,0.9577626664112633
1999-08-27,1.9243,0.9560229445506692
1999-08-30,1.9436,0.9573958831977023
1999-08-31,1.9159,0.9450902561194594
1999-09-01,1.9217,0.945000945000945
1999-09-02,1.9244,0.9355412105903266
1999-09-03,1.904,0.9429514380009429
1999-09-06,1.9059,
1999-09-07,,0.9450902561194594
1999-09-08,1.8983,0.9442870632672333
1999-09-09,1.8735,0.9484966328369534
1999-09-10,1.8621,0.9613535858488752
1999-09-13,1.8822,0.9615384615384615
1999-09-14,1.8923,0.9607993850883936
1999-09-15,1.8779,0.9629272989889264
1999-09-16,1.8794,0.9598771357266269
1999-09-17,1.8861,0.9616309260505818
1999-09-20,1.8745,0.9607993850883936
1999-09-21,1.8791,0.9560229445506692
1999-09-22,1.8906,0.9523809523809523
1999-09-23,1.8914,0.9601536245799327
1999-09-24,1.9144,0.9554748710108925
1999-09-27,1.9174,0.9586808551433229
1999-09-28,1.9393,0.9515653249595585
1999-09-29,1.9224,0.9422406482615661
1999-09-30,1.9223,0.939584703561026
1999-10-01,1.9565,0.9330098899048329
1999-10-04,1.9388,0.934317481080071
1999-10-05,1.9525,0.9351912466099318
1999-10-06,1.96,0.9342301943198804
1999-10-07,1.9339,0.9327488107452663
1999-10-08,1.943,0.9407337723424272
1999-10-11,1.955,
1999-10-12,,0.9313588525658936
1999-10-13,1.9587,0.9295408068414203
1999-10-14,1.9648,0.9260116677470135
1999-10-15,1.9794,0.918526683200147
1999-10-18,1.9829,0.9205560158335634
1999-10-19,1.9933,0.9231053263177329
